"","","","","",""
"","","","","",""
"","","","","",""
"Пункт","Община","Дата","Измерена","Превишение на","Забележка"
"","","","концентрация","ПС за СДН",""
"","","","[µg/m3]","[в пъти ПС за СДН]",""
"","","","","(50 µg/m3 )",""
"1","2","3","4","5","6"
"Плевен","Плевен","5/12/2018","25.63","-",""
"Плевен","Плевен","5/13/2018","22.78","-",""
"Плевен","Плевен","5/14/2018","26.79","-",""
"Плевен","Плевен","5/15/2018","34.1","-",""
"Плевен","Плевен","5/16/2018","25.46","-",""
"Плевен","Плевен","5/17/2018","23.11","-",""
"Плевен","Плевен","5/18/2018","27.26","-",""
"Плевен","Плевен","5/19/2018","19.22","-",""
"Плевен","Плевен","5/20/2018","21.55","-",""
"Плевен","Плевен","5/21/2018","21.08","-",""
"Плевен","Плевен","5/22/2018","21.02","-",""
"Плевен","Плевен","5/23/2018","22.69","-",""
"Плевен","Плевен","5/24/2018","24.7","-",""
"Плевен","Плевен","5/25/2018","25.82","-",""
"Плевен","Плевен","5/26/2018","53.68","1.074",""
"Плевен","Плевен","5/27/2018","55.95","1.119",""
"Плевен","Плевен","5/28/2018","34.65","-",""
"Плевен","Плевен","5/29/2018","33.36","-",""
"Плевен","Плевен","5/30/2018","32.37","-",""
"Плевен","Плевен","5/31/2018","48.39","-",""
"Брой регистрирани данни през месеца: 31","","","","",""
"Брой регистрирани данни от началото на годината до момента: 151","","","","",""
"Брой регистрирани превишения през месеца: 2","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 50","","","","",""
"Средномесечна концентрация: 31,6","","","","",""
"Времеви обхват (%): 100,0 %","","","","",""
"","","","","",""
"Плевен","Плевен","6/1/2018","41.06","-",""
"Плевен","Плевен","6/2/2018","30.82","-",""
"Плевен","Плевен","6/3/2018","31.84","-",""
"Плевен","Плевен","6/4/2018","28.78","-",""
"Плевен","Плевен","6/5/2018","23.89","-",""
"Плевен","Плевен","6/6/2018","27.25","-",""
"Плевен","Плевен","6/7/2018","27.25","-",""
"Плевен","Плевен","6/8/2018","29.76","-",""
"Плевен","Плевен","6/9/2018","34.34","-",""
"Плевен","Плевен","6/10/2018","25.84","-",""
"Плевен","Плевен","6/11/2018","29.59","-",""
"Плевен","Плевен","6/12/2018","32.84","-",""
"Плевен","Плевен","6/13/2018","40.4","-",""
"Плевен","Плевен","6/14/2018","31.61","-",""
"Плевен","Плевен","6/15/2018","26.01","-",""
"Плевен","Плевен","6/16/2018","17.74","-",""
"Плевен","Плевен","6/17/2018","-","-","Анализаторът за РМ10 не работи от 22 ч. на 16.06.2018 г., поради блокиране на софтуера."
"Плевен","Плевен","6/18/2018","-","-",""
"Плевен","Плевен","6/19/2018","-","-",""
"Плевен","Плевен","6/20/2018","-","-",""
"Плевен","Плевен","6/21/2018","-","-",""
"Плевен","Плевен","6/22/2018","-","-",""
"Плевен","Плевен","6/23/2018","-","-",""
"Плевен","Плевен","6/24/2018","-","-",""
"Плевен","Плевен","6/25/2018","-","-",""
"Плевен","Плевен","6/26/2018","-","-",""
"Плевен","Плевен","6/27/2018","-","-",""
"Плевен","Плевен","6/28/2018","-","-",""
"Плевен","Плевен","6/29/2018","-","-",""
"Плевен","Плевен","6/30/2018","-","-",""
"Брой регистрирани данни през месеца: 16","","","","",""
"Брой регистрирани данни от началото на годината до момента: 167","","","","",""
"Брой регистрирани превишения през месеца: 0","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 50","","","","",""
"Средномесечна концентрация: 29,9","","","","",""
"Времеви обхват (%): 92,3 %","","","","",""
"","","","","",""
"Плевен","Плевен","7/1/2018"," -","-","Анализаторът за РМ10 не работи от 22 ч. на 16.06.2018 г., поради блокиране на софтуера."
"Плевен","Плевен","7/2/2018"," -","-",""
"Плевен","Плевен","7/3/2018"," -","-",""
"Плевен","Плевен","7/4/2018"," -","-",""
"Плевен","Плевен","7/5/2018"," -","-",""
"Плевен","Плевен","7/6/2018"," -","-",""
"Плевен","Плевен","7/7/2018"," -","-",""
"Плевен","Плевен","7/8/2018"," -","-",""
"Плевен","Плевен","7/9/2018"," -","-",""
"Плевен","Плевен","7/10/2018"," -","-",""
"Плевен","Плевен","7/11/2018"," -","-",""
"Плевен","Плевен","7/12/2018"," -","-",""
"Плевен","Плевен","7/13/2018"," -","-",""
"Плевен","Плевен","7/14/2018"," -","-",""
"Плевен","Плевен","7/15/2018"," -","-",""
"Плевен","Плевен","7/16/2018"," -","-",""
"Плевен","Плевен","7/17/2018"," -","-",""
"Плевен","Плевен","7/18/2018"," -","-",""
"Плевен","Плевен","7/19/2018"," -","-",""
"Плевен","Плевен","7/20/2018"," -","-",""
"Плевен","Плевен","7/21/2018"," -","-",""
"Плевен","Плевен","7/22/2018"," -","-",""
"Плевен","Плевен","7/23/2018"," -","-",""
"Плевен","Плевен","7/24/2018"," -","-",""
"Плевен","Плевен","7/25/2018"," -","-",""
"Плевен","Плевен","7/26/2018"," -","-",""
"Плевен","Плевен","7/27/2018"," -","-",""
"Плевен","Плевен","7/28/2018"," -","-",""
"Плевен","Плевен","7/29/2018"," -","-",""
"Плевен","Плевен","7/30/2018"," -","-",""
"Плевен","Плевен","7/31/2018"," -","-",""
"Брой регистрирани данни през месеца: 0","","","","",""
"Брой регистрирани данни от началото на годината до момента: 167","","","","",""
"Брой регистрирани превишения през месеца: 0","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 50","","","","",""
"Средномесечна концентрация: -","","","","",""
"Времеви обхват (%): 78,8 %","","","","",""
"","","","","",""
"Плевен","Плевен","8/1/2018","-","-","Анализаторът за РМ10 не е работил от 16.06.2018 г. до 03.08.2018 г., поради блокиране на софтуера."
"Плевен","Плевен","8/2/2018","-","-",""
"Плевен","Плевен","8/3/2018","-","-",""
"Плевен","Плевен","8/4/2018","28","-",""
"Плевен","Плевен","8/5/2018","29.86","-",""
"Плевен","Плевен","8/6/2018","28.55","-",""
"Плевен","Плевен","8/7/2018","28.93","-",""
"Плевен","Плевен","8/8/2018","25.76","-",""
"Плевен","Плевен","8/9/2018","22.57","-",""
"Плевен","Плевен","8/10/2018","22.06","-",""
"Плевен","Плевен","8/11/2018","23.07","-",""
"Плевен","Плевен","8/12/2018","20.99","-",""
"Плевен","Плевен","8/13/2018","23.1","-",""
"Плевен","Плевен","8/14/2018","22.75","-",""
"Плевен","Плевен","8/15/2018","27.13","-",""
"Плевен","Плевен","8/16/2018","31.56","-",""
"Плевен","Плевен","8/17/2018","32.66","-",""
"Плевен","Плевен","8/18/2018","28.66","-",""
"Плевен","Плевен","8/19/2018","25.13","-",""
"Плевен","Плевен","8/20/2018","30.83","-",""
"Плевен","Плевен","8/21/2018","31.7","-",""
"Плевен","Плевен","8/22/2018","31.3","-",""
"Плевен","Плевен","8/23/2018","27.54","-",""
"Плевен","Плевен","8/24/2018","25.22","-",""
"Плевен","Плевен","8/25/2018","27.94","-",""
"Плевен","Плевен","8/26/2018","31.74","-",""
"Плевен","Плевен","8/27/2018","25.51","-",""
"Плевен","Плевен","8/28/2018","21.3","-",""
"Плевен","Плевен","8/29/2018","28.15","-",""
"Плевен","Плевен","8/30/2018","31.64","-",""
"Плевен","Плевен","8/31/2018","31.51","-",""
"Брой регистрирани данни през месеца: 28","","","","",""
"Брой регистрирани данни от началото на годината до момента: 195","","","","",""
"Брой регистрирани превишения през месеца: 0","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 50","","","","",""
"Средномесечна концентрация: - 27,3","","","","",""
"Времеви обхват (%): 92,0 %","","","","",""
"","","","","",""
"Плевен","Плевен","9/1/2018","34.26","-",""
"Плевен","Плевен","9/2/2018","39.33","-",""
"Плевен","Плевен","9/3/2018","44.08","-",""
"Плевен","Плевен","9/4/2018","34.06","-",""
"Плевен","Плевен","9/5/2018","20.47","-",""
"Плевен","Плевен","9/6/2018","27.21","-",""
"Плевен","Плевен","9/7/2018","34.85","-",""
"Плевен","Плевен","9/8/2018","32.09","-",""
"Плевен","Плевен","9/9/2018","29.99","-",""
"Плевен","Плевен","9/10/2018","26.3","-",""
"Плевен","Плевен","9/11/2018","26.01","-",""
"Плевен","Плевен","9/12/2018","27.58","-",""
"Плевен","Плевен","9/13/2018","25.53","-",""
"Плевен","Плевен","9/14/2018","23.88","-",""
"Плевен","Плевен","9/15/2018","30.8","-",""
"Плевен","Плевен","9/16/2018","25.52","-",""
"Плевен","Плевен","9/17/2018","29.49","-",""
"Плевен","Плевен","9/18/2018","25.39","-",""
"Плевен","Плевен","9/19/2018","23.99","-",""
"Плевен","Плевен","9/20/2018","27.41","-",""
"Плевен","Плевен","9/21/2018","40.73","-",""
"Плевен","Плевен","9/22/2018","36.8","-",""
"Плевен","Плевен","9/23/2018","72.26","1.445",""
"Плевен","Плевен","9/24/2018","75.94","1.519",""
"Плевен","Плевен","9/25/2018","16.12","-",""
"Плевен","Плевен","9/26/2018","22.42","-",""
"Плевен","Плевен","9/27/2018","22.86","-",""
"Плевен","Плевен","9/28/2018","29.77","-",""
"Плевен","Плевен","9/29/2018","46.02","-",""
"Плевен","Плевен","9/30/2018","19.13","-",""
"Брой регистрирани данни през месеца: 30","","","","",""
"Брой регистрирани данни от началото на годината до момента: 225","","","","",""
"Брой регистрирани превишения през месеца: 2","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 52","","","","",""
"Средномесечна концентрация: 32,3","","","","",""
"Времеви обхват (%): 82,4 %","","","","",""
"","","","","",""
"Плевен","Плевен","10/1/2018","25.34","-",""
"Плевен","Плевен","10/2/2018","28.06","-",""
"Плевен","Плевен","10/3/2018","24.21","-",""
"Плевен","Плевен","10/4/2018","44.87","-",""
"Плевен","Плевен","10/5/2018","44.85","-",""
"Плевен","Плевен","10/6/2018","36.16","-",""
"Плевен","Плевен","10/7/2018","28.99","-",""
"Плевен","Плевен","10/8/2018","37.86","-",""
"Плевен","Плевен","10/9/2018","41.32","-",""
"Плевен","Плевен","10/10/2018","51.51","1.03",""
"Плевен","Плевен","10/11/2018","62.29","1.246",""
"Плевен","Плевен","10/12/2018"," -","-",""
"Плевен","Плевен","10/13/2018","45.27","-",""
"Плевен","Плевен","10/14/2018","44.06","-",""
"Плевен","Плевен","10/15/2018","50.5","1.01",""
"Плевен","Плевен","10/16/2018","47.73","-",""
"Плевен","Плевен","10/17/2018","64.69","1.294",""
"Плевен","Плевен","10/18/2018","73.12","1.462",""
"Плевен","Плевен","10/19/2018","86.4","1.728",""
"Плевен","Плевен","10/20/2018","76.34","1.527",""
"Плевен","Плевен","10/21/2018","66.55","1.331",""
"Плевен","Плевен","10/22/2018","43.95","-",""
"Плевен","Плевен","10/23/2018","41.84","-",""
"Плевен","Плевен","10/24/2018","22.01","-",""
"Плевен","Плевен","10/25/2018","16.7","-",""
"Плевен","Плевен","10/26/2018","35.25","-",""
"Плевен","Плевен","10/27/2018","41.82","-",""
"Плевен","Плевен","10/28/2018","38.05","-",""
"Плевен","Плевен","10/29/2018","44.69","-",""
"Плевен","Плевен","10/30/2018","60.13","1.203",""
"Плевен","Плевен","10/31/2018","87.68","1.754",""
"Брой регистрирани данни през месеца: 30","","","","",""
"Брой регистрирани данни от началото на годината до момента: 255","","","","",""
"Брой регистрирани превишения през месеца: 10","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 62","","","","",""
"Средномесечна концентрация: 47,1","","","","",""
"Времеви обхват (%): 83,9 %","","","","",""
"","","","","",""
"Плевен","Плевен","11/1/2018","82.25","1.645",""
"Плевен","Плевен","11/2/2018","72.35","1.447",""
"Плевен","Плевен","11/3/2018","57.87","1.157",""
"Плевен","Плевен","11/4/2018","40.84","-",""
"Плевен","Плевен","11/5/2018","44.34","-",""
